edge name,provenance
TGFB1 (INHIBITION) CFD,CTD
TGFB1 (INHIBITION) IL1RN,CTD
TGFB1 (INHIBITION) EPAS1,CTD
TGFB1 (ACTIVATION) INHBA,CTD
TGFB1 (INHIBITION) AR,CTD
TGFB1 (INHIBITION) VDAC1,CTD
TGFB1 (ACTIVATION) IL24,CTD
TGFB1 (ACTIVATION) IL32,CTD
TGFB1 (ACTIVATION) SMAD4,CTD
TGFB1 (ACTIVATION) JUN,CTD
TGFB1 (ACTIVATION) LEF1,CTD
TGFB1 (ACTIVATION) IL23R,CTD
TGFB1 (INHIBITION) FOS,CTD
TGFB1 (INHIBITION) IRF1,CTD
TGFB1 (INHIBITION) SIRT1,CTD
TGFB1 (ACTIVATION) ADRB2,CTD
TGFB1 (ACTIVATION) VDR,CTD
TGFB1 (INHIBITION) MPP2,CTD
TGFB1 (INHIBITION) S100A9,CTD
TGFB1 (ACTIVATION) CGB5,CTD
TGFB1 (ACTIVATION) CGB7,CTD
TGFB1 (ACTIVATION) CGB8,CTD
TGFB1 (ACTIVATION) AREG,CTD
TGFB1 (ACTIVATION) HDAC9,CTD
TGFB1 (INHIBITION) FOXA1,CTD
TGFB1 (INHIBITION) GATA3,CTD
TGFB1 (ACTIVATION) ETS1,CTD
TGFB1 (INHIBITION) EOMES,CTD
TGFB1 (ACTIVATION) GLI1,CTD
TGFB1 (ACTIVATION) FOXP3,CTD
TGFB1 (INHIBITION) CCND1,CTD
TGFB1 (INHIBITION) TFAP2C,CTD
TGFB1 (INHIBITION) NLRC5,CTD
TGFB1 (ACTIVATION) FASLG,CTD
TGFB1 (INHIBITION) SOD2,CTD
TGFB1 (INHIBITION) PPARGC1A,CTD
TGFB1 (ACTIVATION) SERPINB5,CTD
TGFB1 (INHIBITION) MDM2,CTD
TGFB1 (INHIBITION) CITED2,CTD
TGFB1 (ACTIVATION) CDKN1A,CTD
TGFB1 (ACTIVATION) PLAUR,CTD
TGFB1 (INHIBITION) WNT3A,CTD
TGFB1 (ACTIVATION) MMP9,CTD
TGFB1 (ACTIVATION) TGFBI,CTD
TGFB1 (INHIBITION) CYP1A1,CTD
TGFB1 (ACTIVATION) SRC,CTD
TGFB1 (ACTIVATION) LHB,CTD
TGFB1 (ACTIVATION) SMAD2,CTD
TGFB1 (INHIBITION) CEBPA,CTD
TGFB1 (ACTIVATION) SKI,CTD
TGFB1 (INHIBITION) TNIK,CTD
TGFB1 (ACTIVATION) MAF,CTD
TGFB1 (INHIBITION) IRF7,CTD
TGFB1 (ACTIVATION) CD44,CTD
TGFB1 (INHIBITION) KAT2B,CTD
TGFB1 (ACTIVATION) TBX21,CTD
TGFB1 (INHIBITION) AHRR,CTD
TGFB1 (ACTIVATION) MTSS1,CTD
TGFB1 (INHIBITION) PTEN,CTD
TGFB1 (INHIBITION) MAP2K6,CTD
TGFB1 (ACTIVATION) PDGFB,CTD
TGFB1 (INHIBITION) PARP14,CTD
TGFB1 (INHIBITION) BCL6,CTD
TGFB1 (INHIBITION) RNF39,CTD
TGFB1 (ACTIVATION) MIR21,CTD
TGFB1 (ACTIVATION) RNASEH2A,CTD
TGFB1 (ACTIVATION) LTBP3,CTD
TGFB1 (ACTIVATION) FGF13,CTD
TGFB1 (ACTIVATION) RORA,CTD
TGFB1 (ACTIVATION) CNRIP1,CTD
TGFB1 (ACTIVATION) CSTB,CTD
TGFB1 (INHIBITION) NDUFA2,CTD
TGFB1 (ACTIVATION) TCF7L2,CTD
TGFB1 (INHIBITION) RASSF3,CTD
IL6 (ACTIVATION) COL1A1,CTD
IL6 (ACTIVATION) TGFB1,CTD
IL6 (ACTIVATION) MUC1,CTD
IL6 (ACTIVATION) IL17,pid
IL6 (ACTIVATION) VEGFA,CTD
IL6 (ACTIVATION) CRP,CTD
IL6 (ACTIVATION) HIF1A,CTD
IL6 (ACTIVATION) ICAM1,CTD
IL6 (ACTIVATION) AR,CTD
IL6 (ACTIVATION) NCOA2,CTD
IL6 (INHIBITION) CCND1,CTD
IL6 (ACTIVATION) SOD2,CTD
IL6 (ACTIVATION) IL12A,CTD
IL6 (ACTIVATION) HNF1A,CTD
IL6 (INHIBITION) CREBBP,CTD
IL6 (ACTIVATION) PVT1,CTD
TGFA (ACTIVATION) PTGS2,CTD
TGFA (ACTIVATION) CXCL8,CTD
TGFA (ACTIVATION) TNF,CTD
TGFA (ACTIVATION) FOS,CTD
NF kappa B1 p50/RelA (ACTIVATION) IL6,pid
NF kappa B1 p50/RelA (ACTIVATION) ICAM1,pid
NF kappa B1 p50/RelA (ACTIVATION) I kappa B alpha,pid
NF kappa B1 p50/RelA (ACTIVATION) CXCL8,pid
FOXM1B/HNF6 (ACTIVATION) TGFA,pid
FOXM1B/HNF6 (ACTIVATION) HNF6,pid
NF Kappa B1 (ACTIVATION) IL6,pid
NF Kappa B1 (ACTIVATION) TNF,pid
cortisol/GR alpha (monomer) (INHIBITION) IL6,pid
cortisol/GR alpha (monomer) (INHIBITION) IL2,pid
cortisol/GR alpha (monomer) (INHIBITION) IL13,pid
cortisol/GR alpha (monomer) (INHIBITION) IL5,pid
cortisol/GR alpha (monomer) (INHIBITION) ICAM1,pid
cortisol/GR alpha (monomer) (INHIBITION) IL4,pid
cortisol/GR alpha (monomer) (INHIBITION) IFN-gamma,pid
cortisol/GR alpha (monomer) (ACTIVATION) IRF1,pid
cortisol/GR alpha (monomer) (INHIBITION) CXCL8,pid
cortisol/GR alpha (monomer) (INHIBITION) TBX21,pid
HB-EGF/EGFR (ACTIVATION) CXCL8,pid
Fra1/JUND (ACTIVATION) p14ARF,pid
Fra1/JUND (ACTIVATION) CXCL8,pid
JUN/FOSNFAT1-c-4 (ACTIVATION) IL2,pid
JUN/FOSNFAT1-c-4 (ACTIVATION) IL4,pid
JUN/FOSNFAT1-c-4 (ACTIVATION) IL5,pid
JUN/FOSNFAT1-c-4 (ACTIVATION) IFN-gamma,pid
JUN/FOSNFAT1-c-4 (ACTIVATION) FASLG,pid
JUN/FOSNFAT1-c-4 (ACTIVATION) CD40LG,pid
JUN/FOSNFAT1-c-4 (ACTIVATION) IL2R alpha,pid
JUN/FOSNFAT1-c-4 (ACTIVATION) CXCL8,pid
JUN/FOSNFAT1-c-4 (ACTIVATION) PTGS2,pid
TCF4/beta catenin (ACTIVATION) CXCL8,pid
TCF4/beta catenin (ACTIVATION) HNF1A,pid
ATF2/JUND/macroH2A (INHIBITION) CXCL8,pid
cortisol/GR alpha (dimer) (ACTIVATION) NR1I3,pid
cortisol/GR alpha (dimer) (ACTIVATION) EGR1,pid
cortisol/GR alpha (dimer) (INHIBITION) CDKN1A,pid
FOXA2 (ACTIVATION) PKLR,pid
FOXA2 (ACTIVATION) FOXA1,pid
FOXA2 (ACTIVATION) CDH15,pid
Akt1 (ACTIVATION) TERT,pid
Akt1 (ACTIVATION) PVT1,pid
TERT (PART_OF) TCF3/beta catenin/TERT/BRG1,PathwayCommons
E2F1 (INHIBITION) TERT,pid
E2F1 (INHIBITION) PTGS2,CTD
E2F1 (PART_OF) E2F1/DP,PathwayCommons
E2F1 (ACTIVATION) Myb,pid
E2F1 (PART_OF) E2F1/DP/PCAF,PathwayCommons
E2F1 (PART_OF) E2F1/DP/TopBP1,PathwayCommons
E2F1 (PART_OF) RB1/E2F1/DP,PathwayCommons
NFX1/SIN3/HDAC (INHIBITION) TERT,pid
Mad/Max (INHIBITION) TERT,pid
PKC isoenzymes (ACTIVATION) TERT,pid
Interferon type I (INHIBITION) TERT,pid
MYC/Max/TRRAP/GCN5/STAF65G/SPT3/TAF9/TAF10/TAF12/core Mediator (ACTIVATION) TERT,pid
IFN-gamma/IRF1 (INHIBITION) TERT,pid
Cbp/p300 (ACTIVATION) TERT,pid
Cbp/p300 (ACTIVATION) GATA1,pid
Cbp/p300 (ACTIVATION) BDKRB2,pid
Cbp/p300 (ACTIVATION) EDN1,pid
HPV-16 E6/E6AP (ACTIVATION) TERT,pid
IL2 (ACTIVATION) TERT,pid
IL2 (ACTIVATION) IFN-gamma,pid
IL2 (ACTIVATION) TP53,CTD
IL2 (PART_OF) IL2/IL2R alpha/beta/gamma/JAK1/LCK/JAK3/STAM1-2,PathwayCommons
IL2 (INHIBITION) IL27RA,pid
IL2 (PART_OF) IL2/IL2R,PathwayCommons
IL2 (INHIBITION) CDKN1B,CTD
SP3/HDAC2 (INHIBITION) TERT,pid
EGF/EGFR (ACTIVATION) TERT,pid
COUP-TFII (INHIBITION) TERT,pid
WT1 (INHIBITION) TERT,pid
Smad3/MYC (INHIBITION) TERT,pid
SP1/HDAC2 (INHIBITION) TERT,pid
EGR1 (ACTIVATION) CXCL8,CTD
EGR1 (PART_OF) NFAT1-c-4 (dimer)/EGR1,PathwayCommons
EGR1 (PART_OF) EGR1/FGF2 promoter,PathwayCommons
EGR1 (PART_OF) EGR1/CDKN1A promoter,PathwayCommons
EGR1 (PART_OF) EGR1/ATF3 promoter,PathwayCommons
EGR1 (PART_OF) EGR1/KLF4/ATF3 promoter,PathwayCommons
EGR1 (ACTIVATION) PTEN,CTD
EGR1 (ACTIVATION) SNAI1,pid
PARP1 (ACTIVATION) SNAI1,pid
TCF4E/beta catenin (ACTIVATION) LEF1,pid
TCF4E/beta catenin (ACTIVATION) VCAN,pid
E2F3/DP (ACTIVATION) TS,pid
E2F3/DP (INHIBITION) p14ARF,pid
SRF (dimer)/Myocardin (ACTIVATION) ACTA2,pid
SRF (dimer)/Myocardin (ACTIVATION) TAGLN,pid
ELK1/SRF (INHIBITION) ACTA2,pid
ELK1/SRF (ACTIVATION) FOS,pid
ELK1/SRF (INHIBITION) TAGLN,pid
ERK1-2-active (ACTIVATION) EGR1,pid
ERK1-2-active (ACTIVATION) FOS,pid
ERK1-2-active (ACTIVATION) JUN,pid
ERK1-2-active (ACTIVATION) IFN-gamma,pid
ERK1-2-active (ACTIVATION) PTGS2,pid
p38alpha-beta-active (ACTIVATION) PTGS2,pid
EPO (ACTIVATION) GATA1,CTD
EPO (INHIBITION) ATF4,CTD
HIF2A/ARNT/SIRT1 (ACTIVATION) EPO,pid
HIF1A/ARNT/Cbp/p300/Src-1 (ACTIVATION) EPO,pid
HIF1A/JAB1 (ACTIVATION) EPO,pid
ATFA (ACTIVATION) TGFB2,pid
RB1 (ACTIVATION) PTGS2,CTD
RB1 (PART_OF) CEBPA/BRM/RB1/E2F4,PathwayCommons
RB1 (PART_OF) RB1/E2F1-3/DP,PathwayCommons
RB1 (PART_OF) RB1/E2F1/DP,PathwayCommons
RB1 (INHIBITION) TGFB2,pid
RB1 (ACTIVATION) CDKN1A,pid
IHH N/PTCH1 (ACTIVATION) PTCH1,pid
IHH N/PTCH1 (ACTIVATION) TGFB2,pid
CREB1 (ACTIVATION) NT3,pid
CREB1 (ACTIVATION) FOS,pid
MEF2C (ACTIVATION) NT3,pid
p53 (ACTIVATION) R2,PANTHER
p53 (ACTIVATION) PML,PANTHER
p53 (ACTIVATION) P21,PANTHER
p53 (ACTIVATION) FAS,PANTHER
p53 (PART_OF) p53/SIRT1,PathwayCommons
p53 (ACTIVATION) PTEN,PANTHER
p53 (ACTIVATION) PMAIP1,PANTHER
p53 (ACTIVATION) CDKN1A,pid
TAp63a (tetramer) (INHIBITION) HBP1,pid
TAp63a (tetramer) (ACTIVATION) PMAIP1,pid
TAp63a (tetramer) (ACTIVATION) CDKN1A,pid
TAp63b (tetramer) (ACTIVATION) MDM2,pid
TAp63b (tetramer) (ACTIVATION) PMAIP1,pid
TAp63b (tetramer) (ACTIVATION) CDKN1A,pid
POU4F1 (INHIBITION) PMAIP1,pid
POU4F1 (ACTIVATION) CDKN1A,pid
E2F1/DP (ACTIVATION) E2F1,pid
E2F1/DP (ACTIVATION) RB1,pid
E2F1/DP (ACTIVATION) SIRT1,pid
E2F1/DP (ACTIVATION) P73,pid
E2F1/DP (ACTIVATION) p14ARF,pid
E2F1/DP (ACTIVATION) SULT2A1,pid
E2F1/DP (ACTIVATION) RBL1,pid
E2F1/DP (ACTIVATION) CDKN1A,pid
tungsten carbide/Cobalt (INHIBITION) DCN,CTD
tungsten carbide/Cobalt (ACTIVATION) PTGS2,CTD
tungsten carbide/Cobalt (ACTIVATION) VLDLR,CTD
tungsten carbide/Cobalt (ACTIVATION) HK2,CTD
tungsten carbide/Cobalt (ACTIVATION) CA9,CTD
tungsten carbide/Cobalt (ACTIVATION) FN1,CTD
tungsten carbide/Cobalt (ACTIVATION) CSTB,CTD
NOG (ACTIVATION) DCN,CTD
NOG (ACTIVATION) LUM,CTD
NOG (ACTIVATION) THBS2,CTD
NOG (ACTIVATION) FNDC1,CTD
NOG (ACTIVATION) COL1A1,CTD
NOG (ACTIVATION) COL3A1,CTD
NOG (ACTIVATION) COL5A1,CTD
NOG (INHIBITION) MRC2,CTD
NOG (INHIBITION) GEM,CTD
NOG (ACTIVATION) PRICKLE1,CTD
NOG (ACTIVATION) COL1A2,CTD
NOG (INHIBITION) ST6GAL2,CTD
NOG (ACTIVATION) COL6A3,CTD
NOG (ACTIVATION) C1QTNF2,CTD
NOG (ACTIVATION) COL14A1,CTD
NOG (INHIBITION) CDH11,CTD
NOG (INHIBITION) CCDC80,CTD
NOG (ACTIVATION) EFEMP1,CTD
NOG (ACTIVATION) GLT8D2,CTD
NOG (INHIBITION) TSHZ3,CTD
NOG (ACTIVATION) ANTXR1,CTD
NOG (INHIBITION) HEPH,CTD
NOG (ACTIVATION) ALDH1A3,CTD
NOG (ACTIVATION) FBN1,CTD
NOG (ACTIVATION) SRPX,CTD
NOG (INHIBITION) DPYSL3,CTD
NOG (ACTIVATION) GFPT2,CTD
NOG (INHIBITION) GAS1,CTD
NOG (ACTIVATION) GLI2,CTD
NOG (ACTIVATION) VCAN,CTD
NOG (ACTIVATION) POSTN,CTD
NOG (ACTIVATION) CRISPLD2,CTD
NOG (ACTIVATION) COL12A1,CTD
NOG (ACTIVATION) MOXD1,CTD
NOG (INHIBITION) NHS,CTD
NOG (ACTIVATION) LAMA2,CTD
NOG (INHIBITION) HEYL,CTD
NOG (ACTIVATION) MXRA5,CTD
NOG (INHIBITION) HTRA3,CTD
NOG (ACTIVATION) PCDH7,CTD
NOG (ACTIVATION) SVEP1,CTD
NOG (ACTIVATION) MAP1A,CTD
NOG (INHIBITION) GLI3,CTD
NOG (ACTIVATION) SEMA3C,CTD
NOG (ACTIVATION) COL6A2,CTD
NOG (ACTIVATION) ALDH1L2,CTD
NOG (INHIBITION) ADAMTS2,CTD
NOG (ACTIVATION) PRELP,CTD
NOG (INHIBITION) EPHA3,CTD
NOG (ACTIVATION) RSPO3,CTD
NOG (ACTIVATION) PMEPA1,CTD
NOG (ACTIVATION) FLNA,CTD
NOG (INHIBITION) TMEM132E,CTD
NOG (ACTIVATION) COL8A2,CTD
NOG (ACTIVATION) PLAT,CTD
NOG (ACTIVATION) ADAMTS12,CTD
NOG (ACTIVATION) CTBP2,CTD
NOG (ACTIVATION) BGN,CTD
NOG (ACTIVATION) PDPN,CTD
NOG (INHIBITION) SCD5,CTD
NOG (INHIBITION) SHISA2,CTD
NOG (ACTIVATION) PDE1A,CTD
NOG (ACTIVATION) EDNRA,CTD
NOG (INHIBITION) LRRC4C,CTD
NOG (ACTIVATION) MMP2,CTD
NOG (INHIBITION) LZTS1,CTD
NOG (ACTIVATION) COL8A1,CTD
NOG (INHIBITION) AMPH,CTD
NOG (ACTIVATION) MYOF,CTD
NOG (ACTIVATION) STMN2,CTD
NOG (INHIBITION) JAG1,CTD
NOG (ACTIVATION) MAP1B,CTD
NOG (INHIBITION) SPON1,CTD
NOG (ACTIVATION) ITGA3,CTD
NOG (INHIBITION) SFRP1,CTD
NOG (INHIBITION) SULF1,CTD
NOG (ACTIVATION) HS3ST1,CTD
NOG (INHIBITION) LTBP4,CTD
NOG (ACTIVATION) ARHGAP6,CTD
NOG (INHIBITION) XYLT1,CTD
NOG (ACTIVATION) FMOD,CTD
NOG (INHIBITION) ZNF521,CTD
NOG (ACTIVATION) FBLN2,CTD
NOG (ACTIVATION) FLRT2,CTD
NOG (INHIBITION) ZFPM2,CTD
NOG (ACTIVATION) SLIT2,CTD
NOG (ACTIVATION) THBD,CTD
NOG (ACTIVATION) UNC5B,CTD
NOG (ACTIVATION) DCLK1,CTD
NOG (ACTIVATION) GABBR1,CTD
NOG (ACTIVATION) PKNOX2,CTD
NOG (INHIBITION) TSPAN2,CTD
NOG (INHIBITION) MARVELD1,CTD
NOG (ACTIVATION) ID4,CTD
NOG (ACTIVATION) SSPN,CTD
NOG (INHIBITION) TNC,CTD
NOG (ACTIVATION) CCDC3,CTD
NOG (INHIBITION) PTPN13,CTD
NOG (ACTIVATION) RGS4,CTD
NOG (ACTIVATION) FGFR1,CTD
NOG (ACTIVATION) CLEC11A,CTD
NOG (ACTIVATION) SFRP4,CTD
NOG (INHIBITION) TAGLN,CTD
NOG (ACTIVATION) PRR16,CTD
NOG (INHIBITION) RCAN2,CTD
NOG (ACTIVATION) NEXN,CTD
NOG (INHIBITION) PDE10A,CTD
NOG (INHIBITION) COL13A1,CTD
NOG (ACTIVATION) CPXM2,CTD
NOG (INHIBITION) PTGIS,CTD
NOG (ACTIVATION) NTM,CTD
NOG (ACTIVATION) ITGA9,CTD
NOG (INHIBITION) PCDH18,CTD
NOG (ACTIVATION) WNT2,CTD
NOG (INHIBITION) AXL,CTD
NOG (ACTIVATION) AFAP1,CTD
NOG (INHIBITION) INMT,CTD
NOG (INHIBITION) FAM171B,CTD
NOG (ACTIVATION) ENDOD1,CTD
NOG (ACTIVATION) SLC24A3,CTD
NOG (INHIBITION) IGFBP5,CTD
NOG (ACTIVATION) DKK2,CTD
NOG (ACTIVATION) TNFAIP6,CTD
NOG (ACTIVATION) COL6A1,CTD
NOG (INHIBITION) KIF26A,CTD
NOG (ACTIVATION) MN1,CTD
NOG (ACTIVATION) KCTD12,CTD
NOG (INHIBITION) PNMA2,CTD
NOG (ACTIVATION) JPH2,CTD
NOG (ACTIVATION) FIBIN,CTD
NOG (ACTIVATION) NTRK2,CTD
NOG (INHIBITION) CCL2,CTD
NOG (INHIBITION) TM6SF1,CTD
NOG (ACTIVATION) PDZRN3,CTD
NOG (ACTIVATION) FOXC2,CTD
NOG (ACTIVATION) MYL9,CTD
NOG (ACTIVATION) SCG2,CTD
NOG (INHIBITION) CLIP3,CTD
NOG (ACTIVATION) RAB31,CTD
NOG (ACTIVATION) OLFML2A,CTD
NOG (INHIBITION) MYO10,CTD
NOG (INHIBITION) FZD2,CTD
NOG (ACTIVATION) LAMC2,CTD
NOG (ACTIVATION) FSTL1,CTD
NOG (ACTIVATION) NGFR,CTD
NOG (ACTIVATION) SNCA,CTD
NOG (ACTIVATION) VGLL3,CTD
NOG (ACTIVATION) CLIC6,CTD
NOG (INHIBITION) SAMD14,CTD
NOG (INHIBITION) PRSS23,CTD
NOG (INHIBITION) MSRB3,CTD
NOG (ACTIVATION) MEOX1,CTD
NOG (ACTIVATION) RASL11B,CTD
NOG (ACTIVATION) PTH1R,CTD
NOG (ACTIVATION) ZNF423,CTD
NOG (ACTIVATION) EGR2,CTD
NOG (INHIBITION) LPAR1,CTD
NOG (ACTIVATION) PTGS2,CTD
NOG (ACTIVATION) DACT1,CTD
NOG (ACTIVATION) TWIST1,CTD
NOG (INHIBITION) TSPAN11,CTD
NOG (ACTIVATION) MEGF6,CTD
NOG (ACTIVATION) IGF1R,CTD
NOG (ACTIVATION) SLIT3,CTD
NOG (ACTIVATION) NRP2,CTD
NOG (ACTIVATION) CHST4,CTD
NOG (ACTIVATION) ALOX5,CTD
NOG (ACTIVATION) PROCR,CTD
NOG (ACTIVATION) RNF150,CTD
NOG (INHIBITION) MYOZ1,CTD
NOG (ACTIVATION) VTCN1,CTD
NOG (INHIBITION) KIF3C,CTD
NOG (INHIBITION) EFEMP2,CTD
NOG (ACTIVATION) CXCL14,CTD
NOG (ACTIVATION) PAPPA,CTD
NOG (ACTIVATION) LAMC3,CTD
NOG (INHIBITION) STON1,CTD
NOG (ACTIVATION) TCEAL7,CTD
NOG (ACTIVATION) HAS2,CTD
NOG (INHIBITION) ADAM12,CTD
NOG (INHIBITION) IL17RD,CTD
NOG (INHIBITION) RAI2,CTD
NOG (ACTIVATION) TIMP2,CTD
NOG (ACTIVATION) LRRK1,CTD
NOG (ACTIVATION) PDGFRA,CTD
NOG (INHIBITION) SOX8,CTD
NOG (INHIBITION) LRRC55,CTD
NOG (ACTIVATION) SULF2,CTD
NOG (ACTIVATION) ADRA2A,CTD
NOG (ACTIVATION) CRLF1,CTD
NOG (ACTIVATION) BEND6,CTD
NOG (INHIBITION) OLFM1,CTD
NOG (ACTIVATION) SLC6A6,CTD
NOG (INHIBITION) MAGEL2,CTD
NOG (ACTIVATION) F3,CTD
NOG (ACTIVATION) EPHB3,CTD
NOG (INHIBITION) TPBG,CTD
NOG (ACTIVATION) IGFBP6,CTD
NOG (INHIBITION) PRKG1,CTD
NOG (ACTIVATION) BHLHE41,CTD
NOG (INHIBITION) NPTXR,CTD
NOG (ACTIVATION) BMPR1B,CTD
NOG (ACTIVATION) HGF,CTD
NOG (ACTIVATION) ADAM28,CTD
NOG (INHIBITION) EFS,CTD
NOG (INHIBITION) GPR173,CTD
NOG (ACTIVATION) METRNL,CTD
NOG (INHIBITION) MAPK10,CTD
NOG (ACTIVATION) PDLIM3,CTD
NOG (ACTIVATION) BNC2,CTD
NOG (ACTIVATION) RBMS3,CTD
NOG (ACTIVATION) STRA6,CTD
NOG (ACTIVATION) ITGB8,CTD
NOG (INHIBITION) CXCL6,CTD
NOG (INHIBITION) MAP9,CTD
NOG (ACTIVATION) SAMD11,CTD
NOG (INHIBITION) PLXDC2,CTD
NOG (ACTIVATION) FZD10,CTD
NOG (INHIBITION) PAMR1,CTD
NOG (ACTIVATION) PDLIM4,CTD
NOG (ACTIVATION) BDKRB2,CTD
NOG (ACTIVATION) HHIP,CTD
NOG (ACTIVATION) ADAMTS15,CTD
NOG (ACTIVATION) CXCL12,CTD
NOG (INHIBITION) CILP2,CTD
NOG (ACTIVATION) ADAMTS3,CTD
NOG (ACTIVATION) CRISPLD1,CTD
NOG (INHIBITION) PAPLN,CTD
NOG (INHIBITION) PDE5A,CTD
NOG (ACTIVATION) NUDT11,CTD
NOG (ACTIVATION) TMEM200C,CTD
NOG (INHIBITION) FRZB,CTD
NOG (ACTIVATION) PLA2G4A,CTD
NOG (ACTIVATION) FGF1,CTD
NOG (ACTIVATION) WNT2B,CTD
NOG (ACTIVATION) CLDN10,CTD
NOG (ACTIVATION) ITIH5,CTD
NOG (ACTIVATION) PTN,CTD
NOG (ACTIVATION) PLCXD3,CTD
NOG (INHIBITION) LIMCH1,CTD
NOG (ACTIVATION) ANO4,CTD
NOG (ACTIVATION) SRPX2,CTD
NOG (INHIBITION) JAM2,CTD
NOG (ACTIVATION) GABRP,CTD
NOG (INHIBITION) GPR161,CTD
NOG (ACTIVATION) GSTP1,CTD
NOG (ACTIVATION) ADAMTS1,CTD
NOG (INHIBITION) NBL1,CTD
NOG (ACTIVATION) MYOCD,CTD
NOG (ACTIVATION) CTHRC1,CTD
NOG (ACTIVATION) DOK5,CTD
NOG (INHIBITION) BASP1,CTD
NOG (ACTIVATION) SERPINE2,CTD
NOG (INHIBITION) BEGAIN,CTD
NOG (INHIBITION) EGR3,CTD
NOG (ACTIVATION) GPRC5A,CTD
NOG (INHIBITION) PTPRS,CTD
NOG (ACTIVATION) ANK3,CTD
NOG (ACTIVATION) CACNA2D1,CTD
NOG (ACTIVATION) CFTR,CTD
NOG (ACTIVATION) HSPB8,CTD
NOG (ACTIVATION) ST6GALNAC1,CTD
NOG (ACTIVATION) FBLN5,CTD
NOG (INHIBITION) TTYH1,CTD
NOG (ACTIVATION) UBASH3B,CTD
NOG (ACTIVATION) CLSTN2,CTD
NOG (ACTIVATION) TANC2,CTD
NOG (INHIBITION) CNTN4,CTD
NOG (ACTIVATION) CRABP2,CTD
NOG (ACTIVATION) KCNG1,CTD
NOG (ACTIVATION) TACSTD2,CTD
NOG (INHIBITION) DIO3,CTD
NOG (INHIBITION) PITPNM3,CTD
NOG (ACTIVATION) PFKP,CTD
NOG (INHIBITION) PRRX1,CTD
NOG (INHIBITION) MAMDC2,CTD
NOG (INHIBITION) TWIST2,CTD
NOG (ACTIVATION) OSBPL10,CTD
NOG (ACTIVATION) SYT13,CTD
NOG (ACTIVATION) CYBRD1,CTD
NOG (INHIBITION) ZNF853,CTD
NOG (ACTIVATION) ANXA3,CTD
NOG (ACTIVATION) SMOC2,CTD
NOG (ACTIVATION) NMNAT2,CTD
NOG (INHIBITION) APBA2,CTD
NOG (ACTIVATION) PRSS35,CTD
NOG (INHIBITION) KCNS3,CTD
NOG (ACTIVATION) UCHL1,CTD
NOG (ACTIVATION) DOK6,CTD
NOG (ACTIVATION) RUNX1T1,CTD
NOG (INHIBITION) ZNF462,CTD
NOG (INHIBITION) EFNA5,CTD
NOG (ACTIVATION) PADI2,CTD
NOG (ACTIVATION) TGFB2,CTD
NOG (ACTIVATION) CCL26,CTD
NOG (ACTIVATION) ITPR3,CTD
NOG (ACTIVATION) SPINT1,CTD
NOG (ACTIVATION) CCBE1,CTD
NOG (ACTIVATION) NFASC,CTD
NOG (ACTIVATION) PIWIL4,CTD
NOG (ACTIVATION) NRG3,CTD
NOG (ACTIVATION) OLFML3,CTD
NOG (ACTIVATION) ESRP1,CTD
NOG (ACTIVATION) GPC4,CTD
NOG (INHIBITION) NPY1R,CTD
NOG (INHIBITION) FAM155A,CTD
NOG (INHIBITION) PLXNA4,CTD
NOG (ACTIVATION) KIAA1755,CTD
NOG (INHIBITION) KCNA5,CTD
NOG (INHIBITION) WDR86,CTD
NOG (ACTIVATION) EDIL3,CTD
NOG (ACTIVATION) F2RL2,CTD
NOG (ACTIVATION) BICC1,CTD
NOG (ACTIVATION) AHNAK2,CTD
NOG (ACTIVATION) ITGB6,CTD
NOG (ACTIVATION) CRYAB,CTD
NOG (ACTIVATION) IL6,CTD
NOG (ACTIVATION) BACE2,CTD
NOG (INHIBITION) SEL1L3,CTD
NOG (ACTIVATION) KRT19,CTD
NOG (INHIBITION) PRDM16,CTD
NOG (ACTIVATION) CDH6,CTD
NOG (ACTIVATION) CDCP1,CTD
NOG (ACTIVATION) PDE3A,CTD
NOG (ACTIVATION) RAB25,CTD
NOG (INHIBITION) FANK1,CTD
NOG (INHIBITION) DUSP4,CTD
NOG (INHIBITION) ZNF827,CTD
NOG (ACTIVATION) DPYSL4,CTD
NOG (INHIBITION) PLEKHH2,CTD
NOG (ACTIVATION) PLAC9,CTD
NOG (ACTIVATION) SEMA6A,CTD
NOG (ACTIVATION) MLLT3,CTD
NOG (ACTIVATION) PROM1,CTD
NOG (ACTIVATION) S100A6,CTD
NOG (INHIBITION) LINGO1,CTD
NOG (INHIBITION) TMEM158,CTD
NOG (ACTIVATION) FA2H,CTD
NOG (ACTIVATION) BMPER,CTD
NOG (ACTIVATION) FZD7,CTD
NOG (ACTIVATION) MACC1,CTD
NOG (INHIBITION) GLIS3,CTD
NOG (INHIBITION) IGDCC4,CTD
NOG (INHIBITION) LHX2,CTD
NOG (ACTIVATION) BMP5,CTD
NOG (INHIBITION) ARHGEF4,CTD
NOG (INHIBITION) H2BFXP,CTD
NOG (INHIBITION) KLHDC8A,CTD
NOG (INHIBITION) SDK2,CTD
NOG (ACTIVATION) OSR1,CTD
NOG (INHIBITION) APCDD1,CTD
NOG (ACTIVATION) PMAIP1,CTD
NOG (ACTIVATION) FGF18,CTD
NOG (ACTIVATION) AJAP1,CTD
NOG (ACTIVATION) VEPH1,CTD
NOG (INHIBITION) COL4A3,CTD
NOG (ACTIVATION) KRT7,CTD
NOG (ACTIVATION) GATA5,CTD
